IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,35177,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700989178334,1700989178372
6,10.215.173.1,48692,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,4891,3099,42,41,1700989178340,1700989331464
6,10.215.173.1,48700,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,6936,3305,34,30,1700989178367,1700989331464
17,10.215.173.1,17573,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700989179316,1700989179364
17,10.215.173.1,18073,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700989179367,1700989179402
6,10.215.173.1,44452,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,2037,848,15,14,1700989179372,1700989301907
6,10.215.173.1,54160,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,4983,1911,29,28,1700989179375,1700989331463
17,10.215.173.1,39214,157.240.11.52,443,10334,Instagram,UDP,Closed,,2116,587,3,2,1700989179799,1700989179842
17,10.215.173.1,55728,157.240.11.52,443,10334,Instagram,QUIC,Closed,,103450,448046,182,484,1700989179843,1700989262926
17,10.215.173.1,47980,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700989179849,1700989179890
6,10.215.173.1,53336,157.240.11.52,443,10334,Instagram,TCP,Closed,,100,88,2,2,1700989179855,1700989179890
17,10.215.173.1,35885,157.240.22.63,443,10334,Instagram,UDP,Closed,,837,75,2,1,1700989179859,1700989179922
17,10.215.173.1,53492,157.240.22.63,443,10334,Instagram,QUIC,Closed,,284723,27271915,2312,22000,1700989179925,1700989218156
17,10.215.173.1,52312,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1700989179929,1700989179963
17,10.215.173.1,49669,157.240.11.52,443,10334,Instagram,UDP,Closed,i.instagram.com,13124,4259,11,10,1700989183208,1700989183245
17,10.215.173.1,48035,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,157150,13606,161,70,1700989183249,1700989262252
17,10.215.173.1,1184,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700989183252,1700989183279
17,10.215.173.1,38219,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,12179,3463,16,14,1700989262292,1700989263135
17,10.215.173.1,65395,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700989262297,1700989262337
17,10.215.173.1,51617,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,42058,12082,42,30,1700990407879,1700990469541
17,10.215.173.1,29099,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700990407905,1700990407969
6,10.215.173.1,58026,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,6153,2410,33,28,1700990407949,1700990522427
6,10.215.173.1,45542,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,3713,1284,19,13,1700990407967,1700990522427
17,10.215.173.1,53028,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,25588,53696,48,87,1700990407974,1700990470250
6,10.215.173.1,43666,157.240.3.63,443,10334,Instagram,HTTPS,Closed,i-fallback.instagram.com,5767,10470,19,18,1700990408025,1700990473898
17,10.215.173.1,20019,10.215.173.2,53,10334,Instagram,DNS,Closed,i-fallback.instagram.com,70,119,1,1,1700990408145,1700990408370
17,10.215.173.1,9898,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700990408193,1700990408370
17,10.215.173.1,17554,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700990408205,1700990408370
6,10.215.173.1,43682,157.240.3.63,443,10334,Instagram,HTTPS,Closed,i-fallback.instagram.com,841,837,8,8,1700990408211,1700990473908
6,10.215.173.1,58038,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,6318,2817,22,20,1700990408231,1700990522427
17,10.215.173.1,38521,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700990408256,1700990408371
17,10.215.173.1,34911,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700990408271,1700990408371
6,10.215.173.1,43690,157.240.3.63,443,10334,Instagram,HTTPS,Closed,i-fallback.instagram.com,841,837,8,8,1700990408292,1700990473910
6,10.215.173.1,43704,157.240.3.63,443,10334,Instagram,HTTPS,Closed,i-fallback.instagram.com,841,837,8,8,1700990408314,1700990473819
6,10.215.173.1,47586,157.240.22.19,443,10334,Instagram,HTTPS,Closed,web.facebook.com,2653,3722,14,14,1700990408333,1700990473904
17,10.215.173.1,64384,10.215.173.2,53,10334,Instagram,DNS,Closed,web.facebook.com,62,121,1,1,1700990408356,1700990408416
6,10.215.173.1,60794,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,2014,848,15,14,1700990408377,1700990522427
17,10.215.173.1,34625,157.240.22.63,443,10334,Instagram,QUIC,Closed,scontent-sjc3-1.cdninstagram.com,14946,704636,84,593,1700990408536,1700990540996
17,10.215.173.1,29907,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1700990408545,1700990408584
17,10.215.173.1,27726,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700990469736,1700990469778
17,10.215.173.1,58780,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,29703,9785,31,26,1700990469785,1700990541561
17,10.215.173.1,49561,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,16674,12900,28,32,1700990539609,1700990624511
17,10.215.173.1,45657,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700990539623,1700990539680
6,10.215.173.1,46990,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,6922,4126,57,54,1700990539633,1700990852931
6,10.215.173.1,34386,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,834,839,8,8,1700990539659,1700990604908
17,10.215.173.1,55741,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700990539671,1700990539720
6,10.215.173.1,60724,157.240.18.175,443,10334,Instagram,TLS,Unreachable,,60,40,1,1,1700990540332,1700990540359
6,10.215.173.1,36986,157.240.14.175,5222,10334,Instagram,TCP,Closed,,1974,808,14,13,1700990540360,1700990691076
