IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,51800,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,4353,2514,32,30,1697650655208,1697650751148
17,10.215.173.1,44688,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1697650655215,1697650655303
6,10.215.173.1,49824,31.13.70.3,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6630,4365,42,34,1697650655252,1697650751149
17,10.215.173.1,43987,31.13.70.52,443,10334,Instagram,QUIC,Closed,,23397,48679,40,69,1697650655258,1697650662688
6,10.215.173.1,60540,31.13.70.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,834,839,8,8,1697650655263,1697650720871
17,10.215.173.1,55437,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1697650655271,1697650655316
17,10.215.173.1,5198,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1697650655277,1697650655317
6,10.215.173.1,60556,31.13.70.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,834,839,8,8,1697650655281,1697650720872
6,10.215.173.1,60570,31.13.70.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,874,879,9,9,1697650655285,1697650721080
6,10.215.173.1,60582,31.13.70.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,874,879,9,9,1697650655294,1697650720927
17,10.215.173.1,42393,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1697650655297,1697650655332
6,10.215.173.1,41674,157.240.22.19,443,10334,Instagram,HTTPS,Closed,web.facebook.com,2703,3632,15,15,1697650655299,1697650720851
17,10.215.173.1,9325,10.215.173.2,53,10334,Instagram,DNS,Closed,web.facebook.com,62,121,1,1,1697650655300,1697650655340
6,10.215.173.1,33870,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1916,649,13,10,1697650655335,1697650704418
17,10.215.173.1,34712,157.240.22.25,443,10334,Instagram,QUIC,Closed,,2520,6714,7,12,1697650655430,1697650655492
17,10.215.173.1,52117,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.xx.fbcdn.net,74,90,1,1,1697650655432,1697650655466
17,10.215.173.1,34204,31.13.70.52,443,10334,Instagram,QUIC,Closed,,37800,4787,43,22,1697650655927,1697650662646
17,10.215.173.1,20902,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1697650655933,1697650655978
17,10.215.173.1,15652,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1697650657725,1697650657767
17,10.215.173.1,59938,157.240.22.63,443,10334,Instagram,QUIC,Closed,i.instagram.com,10889,1100822,91,889,1697650657733,1697650658010
6,10.215.173.1,50602,157.240.22.63,443,10334,Instagram,HTTPS,Closed,scontent-sjc3-1.cdninstagram.com,630,3673,8,7,1697650657751,1697650751149
6,10.215.173.1,48908,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,2519,1390,19,14,1697651217256,1697651217670
17,10.215.173.1,24539,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1697651217300,1697651217350
6,10.215.173.1,58896,31.13.70.3,443,10334,Instagram,HTTPS,Active,edge-mqtt.facebook.com,4984,2725,29,22,1697651217304,1697651218003
17,10.215.173.1,51543,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1697651217380,1697651217416
17,10.215.173.1,59096,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1697651217526,1697651217565
6,10.215.173.1,40460,157.240.22.175,5222,10334,Instagram,TCP,Active,z-p42-chat-e2ee-ig.facebook.com,1853,689,12,11,1697651217571,1697651217857
