IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,44654,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1701074312264,1701074312296
6,10.215.173.1,58310,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,4573,2780,36,36,1701074312273,1701074422638
17,10.215.173.1,47105,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1701074312277,1701074312315
6,10.215.173.1,45638,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6363,4815,28,25,1701074312279,1701074422637
6,10.215.173.1,58324,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,6442,2822,25,21,1701074312556,1701074422638
17,10.215.173.1,8915,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1701074312560,1701074312597
6,10.215.173.1,42728,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1956,689,14,11,1701074312602,1701074355938
17,10.215.173.1,58372,157.240.11.52,443,10334,Instagram,UDP,Closed,,3600,1528,4,3,1701074313761,1701074313798
17,10.215.173.1,41716,157.240.11.52,443,10334,Instagram,QUIC,Closed,,27086,35474,37,54,1701074313801,1701074320868
17,10.215.173.1,21551,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1701074313809,1701074313844
6,10.215.173.1,48822,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,834,839,8,8,1701074313811,1701074378907
17,10.215.173.1,37398,31.13.70.52,443,10334,Instagram,UDP,Closed,,9029,1898,9,8,1701074317227,1701074317312
17,10.215.173.1,46604,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,14146,3989,20,17,1701074317320,1701074326636
17,10.215.173.1,26993,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1701074317324,1701074317360
17,10.215.173.1,36737,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,64410,289209,112,303,1701074652484,1701074685899
6,10.215.173.1,49734,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6467,4614,25,20,1701074652498,1701074751061
17,10.215.173.1,53512,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1701074652522,1701074652741
17,10.215.173.1,24314,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1701074652529,1701074652741
6,10.215.173.1,32822,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,754,720,6,6,1701074652535,1701074712456
6,10.215.173.1,32832,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,754,720,6,6,1701074652561,1701074712458
6,10.215.173.1,32834,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,794,760,7,7,1701074652606,1701074712459
6,10.215.173.1,41778,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,6601,3092,28,26,1701074652631,1701074751065
17,10.215.173.1,46448,157.240.22.63,443,10334,Instagram,QUIC,Closed,,44336,3624869,317,2944,1701074652648,1701074671766
6,10.215.173.1,48438,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,4510,2691,35,34,1701074652668,1701074751065
6,10.215.173.1,34872,157.240.22.19,443,10334,Instagram,HTTPS,Closed,web.facebook.com,2495,3533,11,11,1701074652683,1701074712459
17,10.215.173.1,34095,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1701074652691,1701074652741
6,10.215.173.1,32842,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,754,720,6,6,1701074652700,1701074712460
6,10.215.173.1,32856,157.240.11.52,443,10334,Instagram,TLS,Closed,graph.instagram.com,100,88,2,2,1701074652705,1701074652754
17,10.215.173.1,46382,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1701074652715,1701074652754
17,10.215.173.1,34220,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1701074652720,1701074652756
17,10.215.173.1,60639,10.215.173.2,53,10334,Instagram,DNS,Closed,web.facebook.com,62,121,1,1,1701074652726,1701074652775
6,10.215.173.1,32872,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,754,720,6,6,1701074652736,1701074712460
6,10.215.173.1,53930,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1916,729,13,12,1701074652751,1701074701227
17,10.215.173.1,51287,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,68131,5650,68,30,1701074654256,1701074707561
17,10.215.173.1,63846,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1701074654259,1701074654303
17,10.215.173.1,3603,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1701074754852,1701074754914
