IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,47229,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700992772736,1700992772772
6,10.215.173.1,44276,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,5605,4112,54,50,1700992772739,1700993011395
6,10.215.173.1,50924,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,3753,1364,20,15,1700992773614,1700992833859
17,10.215.173.1,59351,157.240.11.52,443,10334,Instagram,UDP,Closed,,2896,893,4,3,1700992773621,1700992773661
17,10.215.173.1,10786,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700992773624,1700992773661
6,10.215.173.1,44278,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,7077,3446,36,31,1700992773644,1700993011394
17,10.215.173.1,12992,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700992773651,1700992773691
17,10.215.173.1,32991,157.240.11.52,443,10334,Instagram,QUIC,Closed,,13822,36627,33,62,1700992773675,1700992798938
17,10.215.173.1,1967,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700992773678,1700992773717
6,10.215.173.1,40886,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,649,11,10,1700992773695,1700992833859
17,10.215.173.1,48089,157.240.22.63,443,10334,Instagram,QUIC,Closed,,333410,29905066,2684,24173,1700992775158,1700992894101
17,10.215.173.1,28727,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1700992775161,1700992775193
17,10.215.173.1,45541,31.13.70.52,443,10334,Instagram,UDP,Closed,,16353,4524,14,13,1700992775666,1700992775715
17,10.215.173.1,51294,157.240.22.63,443,10334,Instagram,QUIC,Closed,scontent-sjc3-1.cdninstagram.com,199209,20525,223,115,1700992775697,1700992923445
17,10.215.173.1,54374,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700992775700,1700992775735
17,10.215.173.1,42148,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,129686,266283,203,350,1700992833854,1700992924415
17,10.215.173.1,38370,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700992833863,1700992833902
17,10.215.173.1,55487,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700992833870,1700992833902
6,10.215.173.1,33928,31.13.70.3,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,3586,1339,18,15,1700992833874,1700992894821
17,10.215.173.1,13086,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700992834083,1700992834123
6,10.215.173.1,57030,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,609,11,9,1700992834129,1700992894821
6,10.215.173.1,53884,157.240.22.25,443,10334,Instagram,HTTPS,Closed,cdn.fbsbx.com,2678,15976,23,22,1700992840528,1700992953999
17,10.215.173.1,17776,10.215.173.2,53,10334,Instagram,DNS,Closed,cdn.fbsbx.com,59,110,1,1,1700992840533,1700992840571
6,10.215.173.1,40882,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,1899,1484,24,18,1700992893607,1700993011395
17,10.215.173.1,12816,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700992893611,1700992893643
6,10.215.173.1,54246,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,3938,5824,24,21,1700992894831,1700993011395
17,10.215.173.1,21779,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700992894833,1700992894869
17,10.215.173.1,31195,10.215.173.2,53,10334,Instagram,DNS,Closed,web.facebook.com,62,121,1,1,1700992895045,1700992895087
6,10.215.173.1,39578,157.240.22.19,443,10334,Instagram,HTTPS,Closed,web.facebook.com,2694,3652,15,13,1700992895049,1700992960439
17,10.215.173.1,24757,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700992895053,1700992895090
6,10.215.173.1,55742,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1956,769,14,13,1700992895094,1700992948740
6,10.215.173.1,56018,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,3983,1615,23,20,1700993713431,1700993852289
17,10.215.173.1,54676,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,136271,269944,197,336,1700993713457,1700993788053
6,10.215.173.1,37148,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,754,720,6,6,1700993713513,1700993775689
17,10.215.173.1,39661,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700993713556,1700993713601
17,10.215.173.1,11580,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700993713564,1700993713604
6,10.215.173.1,58346,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,11166,8989,111,111,1700993713592,1700994440498
17,10.215.173.1,9647,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700993713664,1700993713714
17,10.215.173.1,41104,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700993713676,1700993713715
6,10.215.173.1,36836,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,689,11,11,1700993713732,1700993775689
17,10.215.173.1,54940,157.240.22.63,443,10334,Instagram,QUIC,Active,scontent-sjc3-1.cdninstagram.com,1002150,82335739,7758,66773,1700993714511,1700994430693
17,10.215.173.1,53027,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,132464,15237,149,76,1700993716713,1700993790912
17,10.215.173.1,50620,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700993716719,1700993716765
6,10.215.173.1,53332,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,9772,6373,81,82,1700993716940,1700994436992
6,10.215.173.1,33166,157.240.22.25,443,10334,Instagram,HTTPS,Closed,cdn.fbsbx.com,3942,36553,38,38,1700993746108,1700993908926
17,10.215.173.1,51317,10.215.173.2,53,10334,Instagram,DNS,Closed,cdn.fbsbx.com,59,110,1,1,1700993746114,1700993746152
17,10.215.173.1,24657,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700993776698,1700993776744
6,10.215.173.1,34444,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,609,11,9,1700993776749,1700993836955
17,10.215.173.1,55042,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,206870,21563,251,144,1700993833486,1700993979004
17,10.215.173.1,28817,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700993833494,1700993833539
17,10.215.173.1,15015,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700993837968,1700993838020
6,10.215.173.1,44194,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,649,11,10,1700993838025,1700993898510
17,10.215.173.1,65353,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700993846727,1700993846770
17,10.215.173.1,49720,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,248266,221971,330,366,1700993846734,1700994073815
6,10.215.173.1,56650,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,3629,1300,19,14,1700993852298,1700993914103
17,10.215.173.1,18049,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700993852304,1700993852339
6,10.215.173.1,47630,157.240.22.19,443,10334,Instagram,HTTPS,Closed,web.facebook.com,2534,3492,12,10,1700993852499,1700993914103
