IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,29125,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1697648497381,1697648497418
6,10.215.173.1,47076,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6903,4567,42,38,1697648497389,1697648686490
17,10.215.173.1,64493,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1697648497604,1697648497642
6,10.215.173.1,51908,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1916,649,13,10,1697648497648,1697648518878
17,10.215.173.1,36736,31.13.70.52,443,10334,Instagram,UDP,Closed,,5281,2564,6,5,1697648498767,1697648498853
17,10.215.173.1,44797,157.240.11.52,443,10334,Instagram,UDP,Closed,,2345,999,4,3,1697648498796,1697648498875
17,10.215.173.1,38953,31.13.70.52,443,10334,Instagram,QUIC,Closed,,8220,2795,10,8,1697648498848,1697648499033
17,10.215.173.1,40335,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1697648498851,1697648498887
6,10.215.173.1,34068,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,2874,1963,23,24,1697648533549,1697648686490
17,10.215.173.1,47051,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1697648533553,1697648533597
17,10.215.173.1,51511,31.13.70.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,5508,2871,8,9,1697648534612,1697648534828
17,10.215.173.1,38724,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1697648534616,1697648534665
6,10.215.173.1,53048,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,2481,1408,18,15,1697650084092,1697650084602
6,10.215.173.1,39744,31.13.70.3,443,10334,Instagram,TLS,Closed,edge-mqtt.facebook.com,100,88,2,2,1697650084163,1697650084211
17,10.215.173.1,24973,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1697650084187,1697650084235
17,10.215.173.1,20993,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1697650084203,1697650084255
17,10.215.173.1,38713,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1697650084484,1697650084524
17,10.215.173.1,33017,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,7616,3623,13,13,1697650084529,1697650084743
6,10.215.173.1,43968,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,794,720,7,6,1697650084557,1697650084666
