IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,56076,157.240.22.63,443,10334,Instagram,QUIC,Active,,4603,20798,14,30,1699909790793,1699909792567
17,10.215.173.1,13801,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1699909790798,1699909790843
6,10.215.173.1,33338,157.240.22.63,443,10334,Instagram,HTTPS,Active,i.instagram.com,768,3998,7,6,1699909790803,1699909790862
17,10.215.173.1,27075,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1699909791324,1699909791401
6,10.215.173.1,43562,157.240.22.175,5222,10334,Instagram,TCP,Active,z-p42-chat-e2ee-ig.facebook.com,2037,731,14,11,1699909791408,1699909791693
17,10.215.173.1,56153,157.240.11.52,443,10334,Instagram,QUIC,Active,i.instagram.com,12241,6268,13,11,1699909791464,1699909791846
17,10.215.173.1,19325,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1699909791469,1699909791503
