IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,21014,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1701067185324,1701067185360
6,10.215.173.1,43480,157.240.11.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,4173,1993,22,22,1701067185331,1701067276812
6,10.215.173.1,57788,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,11356,9971,150,143,1701067185547,1701068494216
17,10.215.173.1,17215,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1701067185552,1701067185590
17,10.215.173.1,29475,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1701067185555,1701067185612
6,10.215.173.1,50064,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,689,11,11,1701067185595,1701067246160
17,10.215.173.1,53205,31.13.70.52,443,10334,Instagram,UDP,Closed,,2077,628,3,2,1701067187097,1701067187156
17,10.215.173.1,33342,157.240.11.52,443,10334,Instagram,QUIC,Closed,,135308,535346,263,612,1701067187138,1701067367424
17,10.215.173.1,48821,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1701067187149,1701067187191
17,10.215.173.1,37628,157.240.11.52,443,10334,Instagram,UDP,Closed,i.instagram.com,17069,6892,15,14,1701067190356,1701067190434
17,10.215.173.1,33455,157.240.11.52,443,10334,Instagram,QUIC,Closed,i.instagram.com,254835,19275,280,128,1701067190412,1701067352639
17,10.215.173.1,63314,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1701067190415,1701067190454
17,10.215.173.1,58227,157.240.22.63,443,10334,Instagram,QUIC,Active,graph.instagram.com,2359692,211490965,19307,170874,1701067190840,1701068487879
6,10.215.173.1,43098,157.240.22.63,443,10334,Instagram,HTTPS,Closed,scontent-sjc3-1.cdninstagram.com,5138,197508,85,83,1701067190845,1701067251211
17,10.215.173.1,1251,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1701067190850,1701067190889
6,10.215.173.1,35940,157.240.22.25,443,10334,Instagram,HTTPS,Closed,cdn.fbsbx.com,2050,12052,14,14,1701067200046,1701067307605
17,10.215.173.1,27532,10.215.173.2,53,10334,Instagram,DNS,Closed,cdn.fbsbx.com,59,110,1,1,1701067200050,1701067200089
17,10.215.173.1,60053,157.240.22.25,443,10334,Instagram,QUIC,Closed,cdn.fbsbx.com,5979,154615,22,129,1701067205033,1701067205119
17,10.215.173.1,14278,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.xx.fbcdn.net,74,90,1,1,1701067205039,1701067205076
6,10.215.173.1,35950,157.240.22.25,443,10334,Instagram,HTTPS,Closed,scontent-sjc3-1.xx.fbcdn.net,761,655,6,6,1701067205044,1701067266621
6,10.215.173.1,60468,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,18633,13420,168,161,1701067205558,1701068465619
6,10.215.173.1,59926,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,23540,14907,158,151,1701067215559,1701068475607
6,10.215.173.1,49294,157.240.22.2,443,10334,Instagram,TLS,Active,gateway.instagram.com,11991,8433,120,113,1701067225561,1701068485625
17,10.215.173.1,57869,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1701067247168,1701067247208
